"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"549322","Archaea","Crenarchaeota","Thermoprotei",NA,NA,NA,NA
"244423","Archaea","Crenarchaeota","Sd-NA",NA,NA,NA,NA
"143239","Archaea","Crenarchaeota","Sd-NA","NRP-J",NA,NA,NA
"255340","Archaea","Crenarchaeota","Sd-NA","NRP-J",NA,NA,NA
"141782","Archaea","Crenarchaeota","Sd-NA","NRP-J",NA,NA,NA
"138353","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"30405","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"46043","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"512519","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"540305","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"185612","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"321018","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"155526","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus",NA
"197473","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus",NA
"315545","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus",NA
"348549","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus",NA
"559394","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus",NA
"108964","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus","pIVWA5"
"568724","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus",NA
"175045","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus",NA
"546313","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","CandidatusNitrososphaeragargensis"
"548602","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","CandidatusNitrososphaeragargensis"
"47778","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","CandidatusNitrososphaeragargensis"
"54107","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","CandidatusNitrososphaeragargensis"
